occupation,count,share,cumulative_share,ksco_major_code,ksco_major_label,rule_hit,confidence,needs_review,previous_code,previous_rule_hit,rationale
무직,367349,0.367349,0.367349,unemployed,??/?????,kept:exact,high,no,unemployed,exact,employment-status bucket is immutable
건물 청소원,18253,0.018253,0.385602,9,???? ???,kept:contains:청소,medium,yes,9,contains:청소,kept from draft; no stronger correction rule
건물 경비원,17473,0.017473,0.403075,9,???? ???,kept:contains:경비원,medium,yes,9,contains:경비원,kept from draft; no stronger correction rule
경리 사무원,16146,0.016146,0.419221,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
사무 보조원,13630,0.01363,0.432851,3,?? ???,kept:exact,medium,yes,3,exact,kept from draft; no stronger correction rule
전화 상담원,11211,0.011211,0.444062,4,??? ???,kept:contains:상담원,high,no,4,contains:상담원,kept from draft; no stronger correction rule
시설 경비원,10897,0.010897,0.454959,9,???? ???,kept:contains:경비원,medium,yes,9,contains:경비원,kept from draft; no stronger correction rule
일반 비서,10895,0.010895,0.465854,3,?? ???,kept:suffix:비서,high,no,3,suffix:비서,kept from draft; no stronger correction rule
하역 및 적재 관련 단순 종사원,9160,0.00916,0.475014,9,???? ???,kept:contains:단순,medium,yes,9,contains:단순,kept from draft; no stronger correction rule
한식 조리사,8566,0.008566,0.48358,4,??? ???,kept:contains:조리사,high,no,4,contains:조리사,kept from draft; no stronger correction rule
그 외 일반 영업원,8199,0.008199,0.491779,5,?? ???,kept:contains:영업,high,no,5,contains:영업,kept from draft; no stronger correction rule
주방 보조원,7542,0.007542,0.499321,4,??? ???,exact:?? ???,high,yes,3,suffix:보조원,kitchen/service assistant
지게차 운전원,7382,0.007382,0.506703,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
회계 사무원,7250,0.00725,0.513953,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
마케팅 전문가,7226,0.007226,0.521179,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
산업 안전원,6607,0.006607,0.527786,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
교육 및 훈련 사무원,6138,0.006138,0.533924,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
그 외 서비스 관련 단순 종사원,5947,0.005947,0.539871,9,???? ???,exact:??? ?? ???,high,yes,4,contains:서비스,explicit simple labor
경영 기획 사무원,5940,0.00594,0.545811,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
그 외 상점 판매원,5702,0.005702,0.551513,5,?? ???,kept:contains:판매,high,no,5,contains:판매,kept from draft; no stronger correction rule
보육교사,5529,0.005529,0.557042,2,??? ? ?? ???,kept:suffix:교사,high,no,2,suffix:교사,kept from draft; no stronger correction rule
음식 서비스 종사원,5332,0.005332,0.562374,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
철도운송 관련 종사원,5259,0.005259,0.567633,8,????? ?? ? ?? ???,kept:contains:철도,high,no,8,contains:철도,kept from draft; no stronger correction rule
온라인 쇼핑 판매원,4998,0.004998,0.572631,5,?? ???,kept:contains:판매,high,no,5,contains:판매,kept from draft; no stronger correction rule
그 외 법률 관련 사무원,4700,0.0047,0.577331,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
소규모 상점 경영자,4694,0.004694,0.582025,1,???,kept:contains:경영자,high,no,1,contains:경영자,kept from draft; no stronger correction rule
그 외 기능 관련 종사원,4618,0.004618,0.586643,7,??? ? ?? ?? ???,kept:exact,high,no,7,exact,kept from draft; no stronger correction rule
유치원 교사,4550,0.00455,0.591193,2,??? ? ?? ???,kept:suffix:교사,high,no,2,suffix:교사,kept from draft; no stronger correction rule
노점 및 이동 판매원,4501,0.004501,0.595694,5,?? ???,kept:contains:판매,high,no,5,contains:판매,kept from draft; no stronger correction rule
경·소형 화물차 운전원,4401,0.004401,0.600095,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
기업 고위 임원,4326,0.004326,0.604421,1,???,kept:exact,high,no,1,exact,kept from draft; no stronger correction rule
승용차 및 승합차 운전원,4113,0.004113,0.608534,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
경영 컨설턴트,3853,0.003853,0.612387,2,??? ? ?? ???,kept:contains:컨설턴트,high,no,2,contains:컨설턴트,kept from draft; no stronger correction rule
생산관리 사무원,3745,0.003745,0.616132,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
그 외 하역 및 적재 단순 종사원,3657,0.003657,0.619789,9,???? ???,kept:contains:단순,medium,yes,9,contains:단순,kept from draft; no stronger correction rule
자재 관리 사무원,3605,0.003605,0.623394,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
영업 관리 사무원,3509,0.003509,0.626903,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
관리 비서,3466,0.003466,0.630369,3,?? ???,kept:suffix:비서,high,no,3,suffix:비서,kept from draft; no stronger correction rule
조사 전문가,3387,0.003387,0.633756,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
품질 관리 사무원,3342,0.003342,0.637098,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
국가행정 사무원,3261,0.003261,0.640359,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
전기 용접원,3236,0.003236,0.643595,7,??? ? ?? ?? ???,kept:contains:용접,high,no,7,contains:용접,kept from draft; no stronger correction rule
식품 영업원,2999,0.002999,0.646594,5,?? ???,kept:contains:영업,high,no,5,contains:영업,kept from draft; no stronger correction rule
범용 소프트웨어 프로그래머,2929,0.002929,0.649523,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
지방행정 사무원,2882,0.002882,0.652405,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
상담 전문가,2786,0.002786,0.655191,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
상품 기획자,2732,0.002732,0.657923,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
공공행정 사무원,2679,0.002679,0.660602,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
총무 사무원,2656,0.002656,0.663258,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
음료 서비스 종사원,2572,0.002572,0.66583,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
건물 내 전기 설치 및 정비원,2548,0.002548,0.668378,7,??? ? ?? ?? ???,kept:contains:설치,high,no,7,contains:설치,kept from draft; no stronger correction rule
그 외 돌봄 및 보건 서비스 종사원,2538,0.002538,0.670916,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
일반 간호사,2483,0.002483,0.673399,2,??? ? ?? ???,kept:suffix:간호사,high,no,2,suffix:간호사,kept from draft; no stronger correction rule
일식 조리사,2429,0.002429,0.675828,4,??? ???,kept:contains:조리사,high,no,4,contains:조리사,kept from draft; no stronger correction rule
학습지 방문강사,2389,0.002389,0.678217,2,??? ? ?? ???,kept:suffix:강사,high,no,2,suffix:강사,kept from draft; no stronger correction rule
금형원,2344,0.002344,0.680561,7,??? ? ?? ?? ???,kept:contains:금형,high,no,7,contains:금형,kept from draft; no stronger correction rule
단말기 및 통신 서비스 판매원,2268,0.002268,0.682829,5,?? ???,exact:??? ???,high,yes,4,contains:서비스,sales beats service
간호조무사,2261,0.002261,0.68509,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
그 외 물품 이동 장비 조작원,2202,0.002202,0.687292,8,????? ?? ? ?? ???,kept:contains:물품 이동 장비,high,no,8,contains:물품 이동 장비,kept from draft; no stronger correction rule
건설 단순 종사원,2171,0.002171,0.689463,9,???? ???,exact:?? ?? ???,high,yes,7,contains:건설,explicit simple labor
강구조물 건립원,2154,0.002154,0.691617,7,??? ? ?? ?? ???,kept:contains:건립,high,no,7,contains:건립,kept from draft; no stronger correction rule
중식 조리사,2112,0.002112,0.693729,4,??? ???,kept:contains:조리사,high,no,4,contains:조리사,kept from draft; no stronger correction rule
정보 시스템 운영자,2097,0.002097,0.695826,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
병무행정 사무원,2035,0.002035,0.697861,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
출판 및 자료편집 사무원,2010,0.00201,0.699871,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
광고 전문가,1985,0.001985,0.701856,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
그 외 택배원,1984,0.001984,0.70384,9,???? ???,exact:???,medium,yes,8,contains:택배,delivery worker; review exact KSCO
상·하수 배관공,1968,0.001968,0.705808,7,??? ? ?? ?? ???,kept:contains:배관,high,no,7,contains:배관,kept from draft; no stronger correction rule
육군 부사관,1915,0.001915,0.707723,A,??,kept:exact,high,no,A,exact,kept from draft; no stronger correction rule
우편집배원,1915,0.001915,0.709638,9,???? ???,exact:?????,medium,yes,8,exact,postal delivery worker; review exact KSCO
관세행정 사무원,1911,0.001911,0.711549,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
가사 도우미,1909,0.001909,0.713458,4,??? ???,kept:exact,high,no,4,exact,kept from draft; no stronger correction rule
노인 및 장애인 돌봄 서비스 종사원,1906,0.001906,0.715364,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
보육 관련 시설 서비스 종사원,1863,0.001863,0.717227,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
데이터 분석가,1817,0.001817,0.719044,2,??? ? ?? ???,kept:contains:분석가,high,no,2,contains:분석가,kept from draft; no stronger correction rule
수동 포장원,1779,0.001779,0.720823,9,???? ???,kept:contains:포장,high,no,9,contains:포장,kept from draft; no stronger correction rule
텔레마케터,1736,0.001736,0.722559,5,?? ???,kept:exact,high,no,5,exact,kept from draft; no stronger correction rule
전기 감리 기술자 및 연구원,1699,0.001699,0.724258,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
운송장비 청소원,1691,0.001691,0.725949,9,???? ???,kept:contains:청소,medium,yes,9,contains:청소,kept from draft; no stronger correction rule
119 구조대원,1661,0.001661,0.72761,4,??? ???,kept:contains:구조대원,high,no,4,contains:구조대원,kept from draft; no stronger correction rule
그 외 기획 및 마케팅 사무원,1635,0.001635,0.729245,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
사회복지사,1634,0.001634,0.730879,4,??? ???,kept:contains:사회복지,high,no,4,contains:사회복지,kept from draft; no stronger correction rule
플랜트공학 기술자 및 연구원,1569,0.001569,0.732448,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
그 외 조리사,1565,0.001565,0.734013,4,??? ???,kept:contains:조리사,high,no,4,contains:조리사,kept from draft; no stronger correction rule
그 외 전기·전자기기 설치 및 수리원,1517,0.001517,0.73553,7,??? ? ?? ?? ???,kept:contains:설치,high,no,7,contains:설치,kept from draft; no stronger correction rule
조세행정 사무원,1500,0.0015,0.73703,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
바텐더,1485,0.001485,0.738515,4,??? ???,kept:exact,high,no,4,exact,kept from draft; no stronger correction rule
인사 및 노무 사무원,1478,0.001478,0.739993,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
통계 사무원,1474,0.001474,0.741467,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
육군 장교,1461,0.001461,0.742928,A,??,kept:exact,high,no,A,exact,kept from draft; no stronger correction rule
대형 화물차 운전원,1451,0.001451,0.744379,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
법무 사무원,1442,0.001442,0.745821,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
화장품 판매원,1407,0.001407,0.747228,5,?? ???,kept:contains:판매,high,no,5,contains:판매,kept from draft; no stronger correction rule
용접기 조작원,1406,0.001406,0.748634,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
그 외 기계 조작원,1356,0.001356,0.74999,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
치과위생사,1355,0.001355,0.751345,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
시내버스 운전원,1335,0.001335,0.75268,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
특허 사무원,1324,0.001324,0.754004,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
영업 관련 관리자,1316,0.001316,0.75532,1,???,kept:contains:관리자,high,no,1,contains:관리자,kept from draft; no stronger correction rule
산업용로봇 조작원,1308,0.001308,0.756628,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
냉난방·공조공학 기술자 및 연구원,1290,0.00129,0.757918,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
요양 보호사,1287,0.001287,0.759205,4,??? ???,kept:contains:요양,high,no,4,contains:요양,kept from draft; no stronger correction rule
그 외 기계공학 기술자 및 연구원,1251,0.001251,0.760456,2,??? ? ?? ???,kept:suffix:연구원,high,no,2,suffix:연구원,kept from draft; no stronger correction rule
그 외 제품 디자이너,1213,0.001213,0.761669,2,??? ? ?? ???,kept:exact,high,no,2,exact,kept from draft; no stronger correction rule
정보 보안 전문가,1212,0.001212,0.762881,2,??? ? ?? ???,kept:suffix:전문가,high,no,2,suffix:전문가,kept from draft; no stronger correction rule
철도운송 사무원,1205,0.001205,0.764086,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
통신장비 기사,1200,0.0012,0.765286,2,??? ? ?? ???,kept:suffix:기사,high,no,2,suffix:기사,kept from draft; no stronger correction rule
그 외 금융 사무원,1198,0.001198,0.766484,3,?? ???,kept:suffix:사무원,high,no,3,suffix:사무원,kept from draft; no stronger correction rule
변호사,1197,0.001197,0.767681,2,??? ? ?? ???,kept:suffix:변호사,high,no,2,suffix:변호사,kept from draft; no stronger correction rule
그 외 제조 관련 단순 종사원,1192,0.001192,0.768873,9,???? ???,kept:contains:단순,medium,yes,9,contains:단순,kept from draft; no stronger correction rule
위험 관리원,1179,0.001179,0.770052,2,??? ? ?? ???,kept:exact,medium,yes,2,exact,kept from draft; no stronger correction rule
그 외 자동차 운전원,1176,0.001176,0.771228,8,????? ?? ? ?? ???,kept:contains:운전원,high,no,8,contains:운전원,kept from draft; no stronger correction rule
농업 단순 종사원,1173,0.001173,0.772401,6,????? ?? ???,kept:contains:농업,medium,yes,6,contains:농업,kept from draft; no stronger correction rule
주차 관리원,1163,0.001163,0.773564,2,??? ? ?? ???,kept:suffix:관리원,medium,yes,2,suffix:관리원,kept from draft; no stronger correction rule
매장 정리원,1157,0.001157,0.774721,5,?? ???,kept:exact,high,no,5,exact,kept from draft; no stronger correction rule
자동 조립라인 조작원,1151,0.001151,0.775872,8,????? ?? ? ?? ???,kept:contains:조작원,high,no,8,contains:조작원,kept from draft; no stronger correction rule
