occupation,count,share,cumulative_share,ksco_major_code,ksco_major_label,rule_hit,confidence,needs_review,previous_code,previous_rule_hit,rationale
건물 청소원,18253,0.018253,0.385602,9,???? ???,kept:contains:청소,medium,yes,9,contains:청소,kept from draft; no stronger correction rule
건물 경비원,17473,0.017473,0.403075,9,???? ???,kept:contains:경비원,medium,yes,9,contains:경비원,kept from draft; no stronger correction rule
사무 보조원,13630,0.01363,0.432851,3,?? ???,kept:exact,medium,yes,3,exact,kept from draft; no stronger correction rule
시설 경비원,10897,0.010897,0.454959,9,???? ???,kept:contains:경비원,medium,yes,9,contains:경비원,kept from draft; no stronger correction rule
하역 및 적재 관련 단순 종사원,9160,0.00916,0.475014,9,???? ???,kept:contains:단순,medium,yes,9,contains:단순,kept from draft; no stronger correction rule
주방 보조원,7542,0.007542,0.499321,4,??? ???,exact:?? ???,high,yes,3,suffix:보조원,kitchen/service assistant
그 외 서비스 관련 단순 종사원,5947,0.005947,0.539871,9,???? ???,exact:??? ?? ???,high,yes,4,contains:서비스,explicit simple labor
음식 서비스 종사원,5332,0.005332,0.562374,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
그 외 하역 및 적재 단순 종사원,3657,0.003657,0.619789,9,???? ???,kept:contains:단순,medium,yes,9,contains:단순,kept from draft; no stronger correction rule
음료 서비스 종사원,2572,0.002572,0.66583,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
그 외 돌봄 및 보건 서비스 종사원,2538,0.002538,0.670916,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
단말기 및 통신 서비스 판매원,2268,0.002268,0.682829,5,?? ???,exact:??? ???,high,yes,4,contains:서비스,sales beats service
건설 단순 종사원,2171,0.002171,0.689463,9,???? ???,exact:?? ?? ???,high,yes,7,contains:건설,explicit simple labor
그 외 택배원,1984,0.001984,0.70384,9,???? ???,exact:???,medium,yes,8,contains:택배,delivery worker; review exact KSCO
우편집배원,1915,0.001915,0.709638,9,???? ???,exact:?????,medium,yes,8,exact,postal delivery worker; review exact KSCO
노인 및 장애인 돌봄 서비스 종사원,1906,0.001906,0.715364,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
보육 관련 시설 서비스 종사원,1863,0.001863,0.717227,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
운송장비 청소원,1691,0.001691,0.725949,9,???? ???,kept:contains:청소,medium,yes,9,contains:청소,kept from draft; no stronger correction rule
그 외 제조 관련 단순 종사원,1192,0.001192,0.768873,9,???? ???,kept:contains:단순,medium,yes,9,contains:단순,kept from draft; no stronger correction rule
위험 관리원,1179,0.001179,0.770052,2,??? ? ?? ???,kept:exact,medium,yes,2,exact,kept from draft; no stronger correction rule
